,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,M,2023-01-04 20:19:32,2022-12-30, LOVE,Lovesac Co,Heyer Andrew R,Dir,P - Purchase,$22.28,"+38,000","208,252",+22%,"+$846,770",,,,
1,M,2023-01-04 18:31:34,2022-12-30, ACR,Acres Commercial Realty Corp.,Eagle Point Credit Management LLC,10%,P - Purchase,$19.40,"+17,556","2,668,547",+1%,"+$340,573",,,,
2,,2023-01-04 18:15:58,2023-01-03, AGR,"Avangrid, Inc.",Solomont Alan D,Dir,P - Purchase,$43.33,+117,"9,242",+1%,"+$5,070",,,,
3,DM,2023-01-04 18:03:10,2022-12-14, PKTX,"Protokinetix, Inc.",Smith Clarence Edward,"Pres, CEO, 10%",P - Purchase,$0.02,"+2,187,489","57,387,092",+4%,"+$46,868",,,,
4,,2023-01-04 17:42:39,2023-01-03, AUBN,"Auburn National Bancorporation, Inc",O'Donnell Shannon,SVP,P - Purchase,$23.89,+26,"1,206",+2%,+$621,,,,
5,,2023-01-04 17:36:49,2023-01-03, AUBN,"Auburn National Bancorporation, Inc",Housel David E,Dir,P - Purchase,$23.93,+49,"5,935",+1%,"+$1,173",,,,
6,,2023-01-04 17:16:19,2022-12-29, IHT,Innsuites Hospitality Trust,Wirth James F,"Pres, CEO, 10%",P - Purchase,"$70,000.00","+43,478","5,930,161",+1%,"+$2,147,483,647",,,,
7,,2023-01-04 17:11:14,2023-01-03, AUBN,"Auburn National Bancorporation, Inc",Ham William F Jr,Dir,P - Purchase,$23.97,+54,"4,527",+1%,"+$1,294",,,,
8,,2023-01-04 16:48:54,2023-01-03, AUBN,"Auburn National Bancorporation, Inc",Barrett J Tutt,Dir,P - Purchase,$23.93,+70,"7,944",+1%,"+$1,675",,,,
9,DM,2023-01-04 16:47:06,2021-03-29, TWOA,Two,Hartz Kevin,"Co-CEO, 10%",P - Purchase,$10.00,"+628,750",0,-100%,"+$6,287,500",,,,
10,AM,2023-01-04 16:45:21,2022-09-16, BRT,Brt Apartments Corp.,Gould Jeffrey,"Pres, CEO",P - Purchase,$20.74,"+11,556","6,450,291",0%,"+$239,665",,,,
11,AM,2023-01-04 16:40:12,2022-09-16, BRT,Brt Apartments Corp.,Gould Matthew J,SVP,P - Purchase,$20.74,"+11,556","6,450,291",0%,"+$239,665",,,,
12,DM,2023-01-04 16:39:37,2021-03-29, TWOA,Two,Steckenrider Troy III,"CFO, 10%",P - Purchase,$10.00,"+628,750",0,-100%,"+$6,287,500",,,,
13,,2023-01-04 16:38:15,2023-01-03, AUBN,"Auburn National Bancorporation, Inc",Andrus Terry W,Dir,P - Purchase,$23.94,+65,"4,045",+2%,"+$1,556",,,,
14,DM,2023-01-04 16:37:53,2021-03-29, TWOA,Two,Two Sponsor,10%,P - Purchase,$10.00,"+628,750",0,-100%,"+$6,287,500",,,,
